state_clean,year,month,total_enrolment,total_demo_updates,total_identity_activity,update_to_enrolment_ratio,lifecycle_dominance_index,governance_phase,age_0_5,age_5_17,age_18_greater,child_share,adult_share,saturation_index,future_update_pressure_enrol,mom_growth,enrolment_volatility,enrolment_lifecycle_index,rolling_enrolment_trend,age_shift_momentum_enrol,coverage_inequality_index,z_score,demo_age_5_17,demo_age_17_,youth_update_share,adult_update_share,update_saturation_index,future_update_pressure_demo,mom_update_growth,rolling_update_momentum,demographic_update_volatility,update_lifecycle_index,governance_load_index,age_shift_momentum_demo,update_zscore,is_anomaly,norm_saturation,norm_lifecycle,norm_volatility,governance_risk_score,policy_action,governance_quadrant
Andhra Pradesh,2025,12,22926,323346,346272,14.103899502747971,14.103899502747971,Coverage Expansion Phase,21335,1360,231,0.9899241036377912,0.0100758963622088,0.0403035854488353,0.9899241036377912,-32.129429527221056,5850.091651703703,0.7097062770240048,27090.666666666668,-0.0011736965801517,13.228228245962724,0.0960027890692112,44619,278727,0.1379915013638641,0.8620084986361359,0.8722696556468256,33848.83929106138,0.1177420191160965,265002.3333333333,107467.84578359552,0.7240169972722718,0.5153878562858514,234108,1.127548571700521,False,0.8717717984875314,0.5739953171810873,0.1003964531889353,0.8026199718824913,Routine Monitoring,Transition Risk
Arunachal Pradesh,2025,9,1774,8957,10731,5.049041713641488,5.049041713641488,Coverage Expansion Phase,886,882,6,0.9966178128523112,0.0033821871476888,0.0278678128523111,0.9966178128523112,266.5289256198347,,2.026654411764706,,-0.0854607880589227,13.228228245962724,-0.5401833020848449,1560,7397,0.1741654571843251,0.8258345428156749,1.0,0.0,0.4528791565287915,7561.0,1974.2421330728407,0.6516690856313497,0.4787715941096124,5837,1.6306540616574705,False,1.0,0.4344827674560215,0.001832014872816,0.4363147823288376,Stable,Transition Risk
Arunachal Pradesh,2025,10,823,3921,4744,4.764277035236938,4.764277035236938,Coverage Expansion Phase,370,448,5,0.993924665856622,0.0060753341433778,0.0500582219522073,0.993924665856622,-53.607666290868096,668.7578036927869,1.0294117647058825,1027.0,0.002693146995689,13.228228245962724,-0.5687864116105401,778,3143,0.1984187707217546,0.8015812292782454,0.437758177961371,3568.923672360537,-0.5622418220386289,6347.666666666667,2522.964393988416,0.6031624585564906,0.2596187067931149,2365,-0.8739128086935788,False,0.4355667165840915,0.3409447085364504,0.0023446952588028,0.9077226872111618,Routine Monitoring,Expansion Phase
Arunachal Pradesh,2025,11,791,4874,5665,6.161820480404551,6.161820480404551,Lifecycle Transition Phase,329,366,96,0.8786346396965866,0.1213653603034134,1.0,0.8786346396965866,-3.888213851761846,558.5269316096882,0.8409926470588236,1129.3333333333333,0.1152900261600355,13.228228245962724,-0.5697488716576719,837,4037,0.171727533853098,0.828272466146902,0.5441554091771799,2697.384392095568,0.2430502422851312,5917.333333333333,2187.8047406780465,0.6565449322938038,0.3294317804750793,3200,-0.3999548604321511,False,0.5423786544505254,0.4438851369856854,0.0020315499890271,0.9035380325241872,Routine Monitoring,Maintenance Mode
Arunachal Pradesh,2025,12,368,4474,4842,12.157608695652174,12.157608695652174,Coverage Expansion Phase,240,128,0,1.0,0.0,0.0,1.0,-53.476611883691525,253.9612831384603,0.2941176470588235,660.6666666666666,-0.1213653603034134,13.228228245962724,-0.5824713904056941,706,3768,0.1578006258381761,0.8421993741618239,0.4994975996427375,2213.722116780172,-0.0820681165367255,4423.0,2010.726908359263,0.6843987483236478,0.3323367008363453,3062,-0.5988878922312814,False,0.4975467812641942,0.4975972180362521,0.0018661032085895,1.0019165399806471,Routine Monitoring,Transition Risk
Assam,2025,3,2492,149683,152175,60.065409309791335,60.065409309791335,Fully Saturated – Maintenance Phase,587,1105,800,0.6789727126805778,0.3210272873194221,1.0,0.6789727126805778,,,0.1533917389024277,,,13.228228245962724,-0.5185881047773272,12455,137228,0.0832091820714443,0.9167908179285555,0.8139457742879205,27849.1546672612,,149683.0,,0.8335816358571113,,124773,0.8701382679435931,False,0.8132205869508254,0.7852749760127361,,,Stable,Maintenance Mode
Assam,2025,4,25654,3020,28674,0.1177204334606689,0.1177204334606689,Lifecycle Transition Phase,11931,9203,4520,0.8238091525688002,0.1761908474311998,0.5488344897481874,0.8238091525688002,929.454253611557,,1.2775241385692693,,-0.1448364398882223,13.228228245962724,0.1780525080871889,257,2763,0.0850993377483443,0.9149006622516556,0.0164221470597831,75097.64443876497,-0.9798240281127448,76351.5,103706.40184916262,0.8298013245033112,0.2958185659184881,2506,-1.069822544695037,False,0.0125884356712376,0.7779851888749832,0.0968820732092434,1.862278826412989,Capacity Expansion,Update Infra Gap
Assam,2025,5,13197,714,13911,0.0541032052739258,0.05410320527392589,Lifecycle Transition Phase,5170,5609,2418,0.8167765401227551,0.1832234598772448,0.5707410775176177,0.8167765401227551,-48.5577297887269,11592.038345347206,0.7786192429897894,13781.0,0.007032612446045,13.228228245962724,-0.1966151421352995,88,626,0.1232492997198879,0.876750700280112,0.0038825870863195,50940.4483789927,-0.7635761589403973,51139.0,85349.39578579336,0.7535014005602241,0.2368608556085587,538,-1.1003247820278657,False,0.0,0.6308517514101807,0.0797308154154954,1.7105825668256762,Capacity Expansion,Update Infra Gap
Assam,2025,6,9734,1346,11080,0.1382782001232792,0.13827820012327924,Lifecycle Transition Phase,4878,3401,1455,0.8505239367166633,0.1494760632833367,0.465617937127594,0.8505239367166633,-26.24081230582708,8372.729722139607,0.4721133972915446,16195.0,-0.033747396593908,13.228228245962724,-0.3007713653608335,103,1243,0.0765230312035661,0.923476968796434,0.0073192748153867,1680.9393613126117,0.8851540616246498,1693.3333333333333,74001.22940138675,0.8469539375928677,0.294546551591074,1140,-1.0919651055342197,False,0.0034500829766791,0.8110615380369129,0.0691280337596299,1.876739488819864,Capacity Expansion,Update Infra Gap
Assam,2025,7,47873,27798,75671,0.5806613331105216,0.5806613331105216,Coverage Expansion Phase,30769,11877,5227,0.8908152821005577,0.1091847178994422,0.3401103962567626,0.8908152821005577,391.8122046435176,21091.074992359525,1.6487182651078138,23601.33333333333,-0.0402913453838944,13.228228245962724,0.8463306264377928,3030,24768,0.1090006475285991,0.8909993524714008,0.1511598821085601,8448.222746667536,19.652303120356613,9952.666666666666,64271.820148491206,0.7819987049428017,0.2978979106537145,21738,-0.7420756077337038,False,0.1478513407284479,0.6858047072665582,0.0600376839661375,1.5979910505042478,Capacity Expansion,Update Infra Gap
Assam,2025,9,50639,161785,212424,3.194869566934576,3.194869566934576,Coverage Expansion Phase,35699,14195,745,0.9852880191157012,0.0147119808842986,0.0458278204545903,0.9852880191157012,5.777787061600481,22859.91069536362,1.9704938766696487,36082.0,-0.0944727370151436,13.228228245962724,0.9295232667617396,15162,146623,0.0937169700528479,0.906283029947152,0.8797539940619257,7652.816555916865,4.820023023239082,63643.0,76943.09084511748,0.8125660598943042,0.5653038103358301,131461,1.0302154909279362,False,0.8792853087605906,0.744749458136507,0.0718766641103927,0.937340813486309,Routine Monitoring,Transition Risk
Assam,2025,10,25787,104390,130177,4.048163803466863,4.048163803466863,Coverage Expansion Phase,16361,6693,2733,0.8940163648349944,0.1059836351650056,0.3301390235389925,0.8940163648349944,-49.07679851497857,13620.2303945271,0.9290958447728044,41433.0,0.0912716542807069,13.228228245962724,0.1820527326580801,7244,97146,0.0693936200785515,0.9306063799214483,0.567651632970451,42366.24883359254,-0.3547609481719566,97991.0,67750.09900041968,0.8612127598428968,0.48927052849592,89902,0.2710325283443658,False,0.5659664599528343,0.8385576274617369,0.063287498073189,1.3358786655820916,Routine Monitoring,Maintenance Mode
Assam,2025,11,29824,122463,152287,4.106189645922747,4.106189645922747,Coverage Expansion Phase,18577,8093,3154,0.8942462446351931,0.1057537553648068,0.3294229479613734,0.8942462446351931,15.65517508822274,13336.563137980234,1.1234383194003148,35416.666666666664,-0.0002298798001987,13.228228245962724,0.3034730829790391,10130,112333,0.0827188620236316,0.9172811379763685,0.6659289388682856,43277.56968536907,0.1731296101159114,129546.0,68780.92469185528,0.8345622759527368,0.5053478128533849,102203,0.5100901759229505,False,0.6646268233033453,0.7871659994991135,0.0642506157576958,1.186789791953464,Routine Monitoring,Maintenance Mode
Assam,2025,12,20159,183898,204057,9.122377102038792,9.122377102038792,Coverage Expansion Phase,13998,4658,1503,0.9254427302941616,0.0745572697058385,0.2322458951336871,0.9254427302941616,-32.4067864806867,4854.276087464856,0.6466051762963877,25256.666666666668,-0.0311964856589682,13.228228245962724,0.0127800718687917,14502,169396,0.078858932669197,0.9211410673308028,1.0,0.0,0.501661726398994,136917.0,72560.85613883013,0.8422821346616058,0.6232783021490546,154894,1.32271157685198,False,1.0,0.8020526375175961,0.0677822689295672,0.8698349064471634,Routine Monitoring,Maintenance Mode
Bihar,2025,3,2352,799495,801847,339.92134353741494,339.92134353741494,Fully Saturated – Maintenance Phase,516,1392,444,0.8112244897959183,0.1887755102040816,1.0,0.8112244897959183,,,0.0388626592134406,,,13.228228245962724,-0.5227988674835284,70349,729146,0.0879917948204804,0.9120082051795196,0.8294514692639363,136352.69758082923,,799495.0,,0.8240164103590392,,658797,0.8922284413440705,False,0.8287867187893013,0.7668298133582215,,,Stable,Maintenance Mode
Bihar,2025,4,29085,7650,36735,0.2630221763795771,0.2630221763795771,Coverage Expansion Phase,12405,15162,1518,0.94780814853017,0.0521918514698298,0.2764757537320714,0.94780814853017,1136.607142857143,,0.4233014647946743,,-0.1365836587342518,13.228228245962724,0.2812462712655913,1102,6548,0.1440522875816993,0.8559477124183007,0.0079366396786335,400369.49048329465,-0.990431459859036,403572.5,559918.9691486617,0.7118954248366013,0.3592731887329465,5446,-1.1197862353638617,False,0.0040698541555012,0.5506206068567477,0.5231291051865907,2.069679857887837,Capacity Expansion,Update Infra Gap
Bihar,2025,5,30714,5096,35810,0.165917822491372,0.16591782249137202,Coverage Expansion Phase,12978,16517,1219,0.9603112587093834,0.0396887412906166,0.2102430619719152,0.9603112587093834,5.600825167612178,15925.398864706654,0.4611311366583324,20717.0,-0.0125031101792131,13.228228245962724,0.3302415030398896,384,4712,0.075353218210361,0.9246467817896388,0.0052869432421328,269315.57597802224,-0.3338562091503267,270747.0,457910.9808216003,0.8492935635792779,0.4149347786695103,4328,-1.126275744654584,False,0.0014098299433452,0.8155731704996042,0.4278213355655815,2.2419846761218403,Immediate Intervention,Update Infra Gap
Bihar,2025,7,58580,8517,67097,0.145390918402185,0.14539091840218504,Coverage Expansion Phase,18744,37599,2237,0.961812905428474,0.0381870945715261,0.2022883928653816,0.961812905428474,28.253968253968264,13945.63552991879,1.049710577418214,44989.66666666666,-0.0054472787180195,13.228228245962724,1.1683637428327662,628,7889,0.0737348831748268,0.9262651168251732,0.0088361255088786,7025.039154434904,0.6713108320251178,7087.666666666667,396206.3277254247,0.8525302336503464,0.3989857052090528,7261,-1.1175832578560088,False,0.0049728459299489,0.8218146235559792,0.3701696461412302,2.1870114237672604,Capacity Expansion,Update Infra Gap
Bihar,2025,9,141401,963884,1105285,6.816670320577648,6.816670320577648,Coverage Expansion Phase,62140,78223,1038,0.992659174970474,0.0073408250295259,0.0388865325888402,0.992659174970474,141.381017412086,51944.39999011764,2.1838748503254064,81885.33333333333,-0.0308462695420001,13.228228245962724,3.65936072919198,54673,909211,0.0567215557058733,0.9432784442941268,1.0,0.0,112.1717740988611,325832.3333333333,482553.68557633046,0.8865568885882533,0.7794251880184038,854538,1.3099277141680958,False,1.0,0.8874301372775565,0.4508454267776547,1.3382755640552113,Routine Monitoring,Transition Risk
Bihar,2025,10,94958,439008,533966,4.62318077465827,4.62318077465827,Coverage Expansion Phase,43260,50060,1638,0.9827502685397754,0.0172497314602245,0.0913769558433515,0.9827502685397754,-32.84488794280097,41512.305753836416,1.3976039656787629,98313.0,0.0099089064306985,13.228228245962724,2.2625003551626763,33676,405332,0.0767093082586194,0.9232906917413806,0.4554572956911827,256190.8245819345,-0.5445427043088172,470469.6666666667,432907.9475207942,0.8465813834827611,0.5560461749567632,371656,-0.023740131750932,False,0.4533348205248119,0.8103431209792168,0.404460583366261,1.7614688838206658,Capacity Expansion,Expansion Phase
Bihar,2025,11,97254,649055,746309,6.673812902297078,6.673812902297078,Coverage Expansion Phase,44092,52180,982,0.989902728936599,0.0100972710634009,0.0534882467142322,0.989902728936599,2.4179110764759093,26176.26620305756,1.4567913489636004,111204.33333333331,-0.0071524603968235,13.228228245962724,2.331556863544376,52105,596950,0.080278250687538,0.919721749312462,0.6733745969432007,223406.0053087301,0.478458251330272,683982.3333333334,406660.3487432725,0.839443498624924,0.6162057503960449,544845,0.5099724594739554,False,0.6721015024710714,0.7965787358909052,0.3799370128261578,1.5044142462459915,Capacity Expansion,Transition Risk
Bihar,2025,12,86001,714104,800105,8.303438332112417,8.303438332112417,Coverage Expansion Phase,41809,43546,646,0.9924884594365182,0.0075115405634818,0.0397908635254712,0.9924884594365182,-11.570732309210928,5945.999691669464,1.2157423549629924,92737.66666666669,-0.0025857304999191,13.228228245962724,1.9931017725952176,68731,645373,0.0962478854620615,0.9037521145379384,0.7408609334733225,155670.62470172762,0.1002210906625786,600722.3333333334,391244.294113878,0.8075042290758769,0.6134576206347846,576642,0.6752567546392647,False,0.739850881866741,0.7349884448917755,0.3655335351458373,1.3606710981708718,Routine Monitoring,Transition Risk
Chandigarh,2025,4,117,10504,10621,89.77777777777777,89.77777777777777,Fully Saturated – Maintenance Phase,86,21,10,0.9145299145299144,0.0854700854700854,1.0,0.9145299145299144,,,0.5,,,13.228228245962724,-0.5900206864003834,2731,7773,0.259996191926885,0.740003808073115,1.0,0.0,0.3870328799683085,9038.5,2072.5299756577706,0.48000761614623,0.3684607138885806,5042,1.897457549164674,False,1.0,0.1034582948176928,0.0019238468480491,0.105382141665742,Stable,Maintenance Mode
Chandigarh,2025,9,856,4735,5591,5.531542056074766,5.531542056074766,Coverage Expansion Phase,776,79,1,0.9988317757009346,0.0011682242990654,0.0136682242990654,0.9988317757009346,631.6239316239316,,1.880952380952381,,-0.08430186117102,13.228228245962724,-0.5677938746869355,576,4159,0.1216473072861668,0.8783526927138332,0.4507806549885758,3164.418792840823,-0.3683297758804695,5761.666666666667,2087.112039797257,0.7567053854276663,0.3625358661493488,3583,-0.7550799002895423,False,0.448639951584686,0.6370301757488944,0.0019374711144658,1.1903276952786743,Routine Monitoring,Expansion Phase
Chandigarh,2025,10,465,2795,3260,6.010752688172043,6.010752688172043,Coverage Expansion Phase,421,44,0,1.0,0.0,0.0,1.0,-45.677570093457945,369.7084436868238,1.0476190476190477,479.3333333333333,-0.0011682242990654,13.228228245962724,-0.5795539333878261,256,2539,0.0915921288014311,0.9084078711985688,0.2660891089108911,3675.9150165016495,-0.409714889123548,5008.666666666667,2671.5447216919283,0.8168157423971377,0.3395521353116655,2283,-1.6470755064502598,False,0.2632285295140135,0.7529443600769378,0.0024835163440455,1.4921993469069696,Routine Monitoring,Expansion Phase
Chandigarh,2025,11,659,5667,6326,8.59939301972686,8.59939301972686,Coverage Expansion Phase,608,36,15,0.977238239757208,0.0227617602427921,0.2663125948406676,0.977238239757208,41.72043010752689,195.50191814915783,0.8571428571428571,660.0,0.0227617602427921,13.228228245962724,-0.5737190193520901,539,5128,0.0951120522322216,0.9048879477677784,0.5395087585681645,2025.7009710586444,1.0275491949910551,4399.0,1669.8883096383038,0.8097758955355567,0.4262101905588211,4589,-0.3265541760927439,False,0.5377138924969884,0.739369027174341,0.0015476520051338,1.2032027866824864,Routine Monitoring,Maintenance Mode
Chandigarh,2025,12,523,6709,7232,12.82791586998088,12.82791586998088,Coverage Expansion Phase,486,30,7,0.9866156787762906,0.0133843212237093,0.1565965583173996,0.9866156787762906,-20.637329286798177,99.57911427603688,0.7142857142857143,549.0,-0.0093774390190827,13.228228245962724,-0.5778094745523998,614,6095,0.0915188552690415,0.9084811447309584,0.6387090632140137,1827.048267326733,0.1838715369684136,5057.0,1644.714524367883,0.8169622894619168,0.4640173129775204,5481,0.1525486185564661,False,0.6373008521864939,0.7532269550295542,0.0015241317165134,1.1174502345595738,Routine Monitoring,Transition Risk
Chhattisgarh,2025,3,260,212323,212583,816.626923076923,816.626923076923,Fully Saturated – Maintenance Phase,115,46,99,0.6192307692307693,0.3807692307692307,1.0,0.6192307692307693,,,0.0229273965775045,,,13.228228245962724,-0.5857196930647636,13462,198861,0.0634033995374971,0.9365966004625028,0.7441365726462177,54325.69048603712,,212323.0,,0.8731932009250057,,185399,0.6334449593022898,False,0.7431392885650174,0.8616601862541947,,,Stable,Maintenance Mode
Chhattisgarh,2025,4,1745,37987,39732,21.769054441260742,21.769054441260746,Coverage Expansion Phase,1299,254,192,0.8899713467048711,0.1100286532951289,0.2889641399670053,0.8899713467048711,571.1538461538462,,0.1265991028410034,,-0.2707405774741018,13.228228245962724,-0.5410555315025579,3771,34216,0.0992708031695053,0.9007291968304948,0.1331344978410811,108492.5519226995,-0.8210886244071532,125155.0,123274.16780493796,0.8014583936609893,0.3227500609932134,30445,-1.380178572756788,False,0.129755698554345,0.723329920204354,0.1151645642209411,1.70873878587095,Capacity Expansion,Update Infra Gap
Chhattisgarh,2025,5,1406,42204,43610,30.017069701280228,30.017069701280228,Coverage Expansion Phase,945,270,191,0.864153627311522,0.1358463726884779,0.3567682515050936,0.864153627311522,-19.4269340974212,778.1882805594029,0.1345738494766572,1137.0,0.025817719393349,13.228228245962724,-0.5512515926268594,3696,38508,0.0875746374751208,0.9124253625248792,0.1479139797005551,83082.36338062395,0.1110116618843288,97504.66666666669,99457.946009021,0.8248507250497583,0.3353147086308037,34812,-1.3314711891143212,False,0.1445927867006545,0.7684386693311901,0.0929126698605663,1.716758552491102,Capacity Expansion,Update Infra Gap
Chhattisgarh,2025,6,1263,235622,236885,186.55740300870943,186.55740300870943,Lifecycle Transition Phase,608,439,216,0.828978622327791,0.171021377672209,0.4491470524724681,0.828978622327791,-10.170697012802275,247.55268799456272,0.2188071108157501,1471.3333333333333,0.035175004983731,13.228228245962724,-0.5555525859624793,16730,218892,0.071003556543956,0.928996443456044,0.8257934727751921,18338.89532748275,4.582930527912047,105271.0,106600.60095828102,0.857992886912088,0.5856830671910532,202162,0.9025541201953036,False,0.8251144644532945,0.8323485652762602,0.0995861718436051,1.1068202726665708,Routine Monitoring,Maintenance Mode
Chhattisgarh,2025,7,7587,110422,118009,14.55410570713062,14.554105707130619,Coverage Expansion Phase,5376,1792,419,0.944773955450112,0.0552260445498879,0.1450380967976855,0.944773955450112,500.7125890736342,3610.590579577437,0.8931716231932215,3418.6666666666665,-0.115795333122321,13.228228245962724,-0.3653464191480763,11982,98440,0.1085109851297748,0.8914890148702251,0.387000224303258,79331.97897156957,-0.531359550466425,129416.0,92823.39038356656,0.7829780297404503,0.3863393368607042,86458,-0.5435365679803833,False,0.3846109226183539,0.6876931943898222,0.0867138935739367,1.389796165345405,Routine Monitoring,Expansion Phase
Chhattisgarh,2025,9,28712,173878,202590,6.055934800780162,6.055934800780162,Coverage Expansion Phase,23680,4769,263,0.9908400668709948,0.0091599331290052,0.0240563900357714,0.9908400668709948,278.43679978911297,14374.202598173344,2.3769729190895497,12520.666666666666,-0.0460661114208826,13.228228245962724,0.2700275963412124,12577,161301,0.0723323249634801,0.9276676750365198,0.6093969046150395,67694.38085291315,0.5746680915035047,173307.33333333334,85136.17439138313,0.8553353500730397,0.5048766431720694,148724,0.1893957859243802,False,0.6078744429911812,0.8272238874245473,0.0795315991004793,1.2988810435338456,Routine Monitoring,Transition Risk
Chhattisgarh,2025,10,16356,112630,128986,6.886157984837369,6.886157984837369,Coverage Expansion Phase,13310,2918,128,0.992174125703106,0.0078258742968941,0.0205528011837623,0.992174125703106,-43.03427138478685,10613.134331258289,1.4543944176773551,17551.666666666668,-0.0013340588321111,13.228228245962724,-0.1016022893575166,7363,105267,0.0653733463553227,0.9346266536446772,0.3947386867044243,80082.12436213762,-0.3522469777660199,132310.0,76402.76591262911,0.8692533072893546,0.4392713481638796,97904,-0.518033626770384,False,0.3923795473817049,0.8540626676211295,0.0713718294888043,1.5330549497282289,Capacity Expansion,Expansion Phase
Chhattisgarh,2025,11,23991,206930,230921,8.625317827518654,8.625317827518654,Coverage Expansion Phase,18995,4703,293,0.9877870868242258,0.0122129131757742,0.0320743174313263,0.9877870868242258,46.68011738811446,6235.006041162534,2.3440770892174783,23019.666666666668,0.0043870388788801,13.228228245962724,0.1280346625128132,19156,187774,0.0925723674672594,0.9074276325327404,0.7252355184209051,45193.07875380848,0.8372547278700169,164479.33333333334,71650.99138927992,0.8148552650654811,0.5134201972320662,168618,0.571154487406671,False,0.7241645633164884,0.7491638613035233,0.0669321670761871,1.091931465063222,Routine Monitoring,Transition Risk
Chhattisgarh,2025,12,18165,285328,303493,15.707569501789155,15.707569501789155,Coverage Expansion Phase,15138,2866,161,0.9911368015414258,0.0088631984585741,0.0232770868609018,0.9911368015414258,-24.284106539952475,3989.736457461816,1.4284764911114805,19504.0,-0.0033497147172,13.228228245962724,-0.0471932198181025,28756,256572,0.1007822576122918,0.8992177423877081,1.0,0.0,0.3788624172425459,201629.3333333333,69275.76375520276,0.7984354847754164,0.594071209014443,227816,1.476670603793233,False,1.0,0.7175006748723535,0.0647129521709754,0.7822136270433289,Stable,Transition Risk
